X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
2496,310,11,616,283,933,190,233,183,335,0
2062,50,22,474,79,558,224,188,88,390,0
2426,168,18,270,-101,1230,231,244,137,1516,0
2121,28,26,571,160,680,200,173,97,306,0
2594,70,10,391,139,446,231,220,120,277,0
2184,357,21,192,23,595,182,197,148,677,0
2467,96,5,0,0,1495,228,233,139,696,0
2540,49,16,330,80,1055,225,204,109,1282,0
2595,186,21,283,88,2002,218,250,155,1731,0
2503,251,17,85,38,659,180,250,206,1026,0
2541,242,33,153,87,1426,137,244,229,1249,0
2347,112,37,192,106,404,253,174,13,1889,1
2781,144,24,516,51,2579,246,227,95,2071,0
2127,3,9,351,82,384,208,223,152,830,0
2412,120,32,247,75,319,254,194,40,819,0
2214,315,19,283,111,1146,165,220,194,592,0
2100,118,33,323,140,365,254,192,37,532,0
2484,49,5,180,49,424,222,229,142,1822,0
2778,144,16,150,14,1033,241,235,119,808,0
2534,312,7,350,51,150,202,235,173,1908,0
2145,161,25,30,9,300,236,237,116,532,0
2070,319,10,0,0,960,195,231,176,228,1
2594,146,12,201,72,1584,237,238,130,1567,0
2580,190,21,42,11,1380,215,251,160,1485,0
2548,192,8,134,18,2084,220,247,161,1943,0
2011,74,26,162,2,162,240,180,54,162,0
2250,271,23,162,160,335,152,240,223,558,0
2274,329,22,30,10,480,162,208,182,1638,0
2225,76,15,67,18,666,238,210,99,1637,1
2331,346,29,201,90,1298,151,180,158,1060,0
2554,203,15,120,15,1266,211,252,172,2023,0
2195,298,26,376,117,469,137,220,218,421,0
2484,124,19,60,16,924,248,223,96,752,0
2178,309,24,30,12,1044,149,217,205,659,0
2215,356,31,30,18,1110,156,169,139,582,0
2613,164,13,60,5,1485,231,244,141,342,0
2563,224,13,30,-1,1338,202,252,185,1022,0
2285,57,18,67,22,1124,229,200,97,886,1
2633,215,32,85,42,2903,172,250,195,1224,0
2302,291,22,85,-10,541,152,230,215,433,0
2402,287,19,382,193,384,163,235,211,752,0
2224,340,30,95,42,1442,142,180,168,797,0
2679,141,6,255,12,1846,230,238,142,2462,0
2209,177,5,0,0,793,222,242,155,350,1
2187,333,17,0,0,1034,179,216,175,458,1
2589,196,15,180,44,1633,216,251,166,1624,0
2521,257,28,450,-78,450,143,243,230,1103,0
2503,81,16,268,109,882,240,209,95,1323,0
2303,300,27,531,62,437,135,218,218,1802,0
2435,103,20,162,48,660,249,211,81,335,0
2083,302,13,30,5,760,183,234,190,150,0
2510,151,6,201,44,967,228,240,145,886,0
2223,343,37,190,98,1113,123,159,159,1142,0
2376,137,8,60,2,537,233,237,136,878,0
2274,142,23,201,111,1383,246,227,96,924,1
2451,293,19,150,26,532,163,232,208,1761,0
2635,349,15,108,41,1310,190,213,160,752,0
2061,242,36,67,32,408,129,241,232,576,0
2376,277,24,404,171,361,147,236,225,722,0
2347,357,20,270,150,1465,183,199,149,886,0
2305,131,11,0,0,890,238,234,126,842,1
2301,122,16,300,39,85,246,226,103,242,0
2298,274,24,95,43,571,147,238,225,1786,0
2038,15,3,0,0,700,217,233,154,691,1
2338,315,14,481,257,1465,182,228,185,1036,0
2770,148,7,256,40,2632,230,240,142,2089,0
2232,269,28,124,66,932,139,237,232,469,0
2269,49,15,85,26,743,225,207,112,488,0
1956,124,26,212,89,242,253,210,67,977,0
2587,160,14,300,83,888,234,242,135,1456,0
2561,135,8,85,-3,1348,233,237,135,1320,0
2449,301,10,120,19,888,193,236,183,1351,0
2613,113,21,684,13,677,251,214,81,1266,0
2544,218,24,127,51,999,186,254,195,698,0
2295,81,12,60,23,1121,236,219,112,767,0
2320,333,19,190,86,234,172,211,177,1061,0
2388,70,15,42,8,644,235,210,102,1396,0
2642,130,19,240,-15,1464,247,226,99,930,0
2369,346,34,277,172,810,134,165,155,1504,0
2354,75,14,218,65,446,236,213,104,511,0
2374,169,24,234,59,242,230,242,129,800,0
2563,97,18,170,49,1484,246,211,88,1426,0
2100,287,39,216,207,242,88,205,242,216,0
2578,45,4,216,-16,1324,221,230,145,1263,0
2363,12,26,313,210,1149,185,178,121,1245,0
2237,138,35,108,57,1633,247,203,52,30,0
2664,225,13,42,9,1906,202,252,185,1800,0
2350,84,17,175,51,418,242,210,93,648,0
2445,114,17,95,5,1850,247,220,96,90,0
2151,265,34,30,21,658,116,232,242,642,0
2294,355,11,297,70,993,202,221,156,247,0
2262,307,22,272,184,1426,154,221,204,959,0
2616,176,27,351,88,927,223,242,134,1047,0
