X1,X2,X3,X4,X5,X6,X7
2.526,43,0.024,2.872,0,0.681,0
2.65,4,0.006,4.179,0,0.644,0
15.603,4,0.002,0,0,0,0
21.186,11,0.001,0,0,0,0
9.457,422,0.008,3.594,0,0.437,0
4.849,25,0.019,4.793,0,0.671,0
15.411,691,0.013,6.837,0,0.47,0
5.393,71,0.021,0,0,0,0
2.81,14,0.026,0,0,0,0
4.36,4,0.009,0,0,0,0
5.214,27,0.013,0,0,0,0
3.122,7,0.016,3.883,0,0.609,0
11.717,514,0.002,5.022,104.478,0.481,0
5.33,70,0.011,4.156,36.07,0.711,0
9.784,1038,0.018,3.295,0,0.511,0
9.064,311,0.007,4.524,0,0.653,0
9.268,797,0.013,3.829,14.832,0.455,0
5.553,24,0.009,6.496,0,0.63,0
4.077,29,0.005,2.497,0,0.611,0
5.668,20,0.01,5.197,0,0.574,0
5.827,46,0.003,3.458,133.466,0.76,0
5.789,77,0.012,0,0,0,0
5.068,93,0.008,2.546,0,0.622,0
5.59,118,0.009,4.773,0,0.614,0
3.515,9,0.015,2.868,43.583,0.611,0
6.125,106,0.015,3.74,0,0.824,0
4.201,4,0.009,4.681,0,0.781,0
22.155,1208,0.003,6.089,0,0.435,0
11.918,672,0.006,4.706,17.423,0.453,0
3.859,44,0.03,3.991,23.58,0.716,0
13.943,26,0.003,0,0,0,0
5.914,30,0.012,0,0,0,0
7.215,4,0.004,0,0,0,0
4.694,152,0.047,6.032,0,0.66,0
3.206,25,0.033,3.156,0,0.688,0
3.813,38,0.028,5.646,17.948,0.654,0
6.74,140,0.007,2.176,50.779,0.55,0
5.424,28,0.033,0,0,0,0
5.344,26,0.015,0,0,0,0
4.019,39,0.028,4.659,0,0.644,0
2.128,12,0.062,0,0,0,0
3.485,33,0.134,3.78,0,0.533,0
10.975,1127,0.004,4.623,47.456,0.485,0
5.754,186,0.03,5.445,22.974,0.613,0
9.01,163,0.011,5.506,0,0.498,0
15.154,1135,0.009,5.257,25.786,0.488,0
1.986,4,0.03,0,0,0,0
8.845,150,0.013,5.632,0,0.653,0
8.162,304,0.014,5.102,0,0.64,0
3.509,111,0.05,3.118,14.532,0.639,0
1.767,29,0.241,4.322,0,0.5,0
8.129,113,0.007,4.542,40.752,0.519,0
4.659,23,0.02,0,0,0,0
5.039,5,0.018,0,0,0,0
5.798,38,0.011,3.74,36.881,0.731,0
3.226,12,0.06,2.917,10.794,0.778,0
4.126,61,0.016,3.099,0,0.671,0
5.556,200,0.012,4.434,33.27,0.7,0
7.018,71,0.013,0,0,0,0
7.109,190,0.023,4.759,0,0.623,0
2.168,21,0.071,2.658,14.461,0.386,0
5.541,9,0.008,0,0,0,0
5.139,32,0.039,3.508,11.787,0.734,0
3.481,39,0.012,6.64,33.446,0.742,0
9.741,414,0.021,0,0,0,0
4.775,63,0.02,0,0,0,0
0,5,0,0,0,0,0
7.264,124,0.02,2.643,0,0.519,0
3.286,4,0.023,5.028,0,0.579,0
4,30,0.667,3,8.676,0.515,0
6.327,4,0.003,0,0,0,0
5.265,44,0.014,4.301,49.276,0.598,0
4.318,70,0.028,6.084,12.421,0.62,0
3.226,5,0.038,2.438,0,0.777,0
12.679,1223,0.014,7.294,19.295,0.553,0
17.513,733,0.002,6.837,0,0.404,0
10.207,348,0.006,4.811,0,0.735,0
4.873,96,0.021,0,0,0,0
5.096,154,0.02,6.251,0,0.574,0
4.931,123,0.012,2.411,0,0.657,0
7.678,269,0.029,4.609,10.972,0.728,0
12.149,969,0.005,4.042,44.809,0.436,0
4.039,24,0.01,2.887,45.34,0.691,0
1.926,18,0.018,5.002,0,0.659,0
4.695,5,0.015,3.984,41.081,0.707,0
5.798,299,0.041,3.586,0,0.621,0
4.902,124,0.006,0,0,0,0
2.957,10,0.023,2.344,0,0.774,0
11.175,593,0.004,5.132,102.418,0.628,0
5.82,99,0.01,3.32,63.802,0.599,0
3.58,6,0.015,3.963,0,0.67,0
1.941,6,0.083,2.548,0,0.598,0
2.425,17,0.082,4.656,23.565,0.507,0
2.891,7,0.026,0,0,0,0
3.896,20,0.016,0,0,0,0
4.91,23,0.038,0,0,0,0
6.37,106,0.009,0,0,0,0
10.515,660,0.01,4.666,27.085,0.602,0
6.907,124,0.013,3.655,54.939,0.675,0
5.556,79,0.016,3.79,0,0.667,0
30.917,9,0.001,0,0,0,0
4.015,12,0.009,3.675,0,0.738,0
11.668,170,0.013,4.824,0,0.696,0
9.646,245,0.002,0,0,0,0
6.47,6,0.015,0,0,0,0
5.79,85,0.032,0,0,0,0
