,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
0,0.0,792,0.0,0.0,99,0.0,891,792,0.0,99,0.0,0.0,495,29.7,1.43E+16,75,1.43E+16,0.0,71,8,8,10375,83,255,727,875,0.0,1.76E+16,14.9,429,0.0,1645,297,0.0,390205246,0,1,19,0.0,1261,0.0,34,554217,506024,1,396,4.8193E+16,3.6E+16,2241,36144,75,1
1,0.0,0.0,127,0.0,0.0,0.0,1392,759,0.0,0.0,0.0,0.0,127,3797,1.43E+16,0.1,1.43E+16,0.0,107,8,8,7.5,60,2306,696,0.8,0.0,126,15065,0.1,16667,2.493E+16,127,0.0,362895119,0,1,57,0.0,1043,0.0,25,5.33333E+15,5.66667E+15,1,127,0.0,107,235,83333,2125,1
2,312,1146,417,0.0,521,208,0.0,1354,208,208,0.0,0.0,1042,2604,5.71E+15,12,429,729,25,8,8,1225,98,8.64E+15,684,857,0.0,19,7371,447,40816,1615,312,104,644394139,1,1,511,0.0,1136,0.0,26,265305,295918,1,521,61224,214,1541,15306,625,3
3,164,656,164,0.0,328,0.0,164,1311,164,328,0.0,0.0,8.2,4262,0.6,212,0.6,656,0.4,6,6,10167,61,135,787,757,0.0,262,13132,379,32787,1475,164,0.0,497649293,1,2,423,0.0,1.0,0.0,21,3.77049E+16,3.93443E+16,1,492,4918,0.4,2.098E+16,1.31147E+16,1167,1
4,287,1147,394,0.0,573,215,72,17.2,287,36,108,0.0,824,2975,5.38E+15,1.08E+16,462,323,365,14,14,20.0,280,1.134E+16,535,755,83573,306,1345,518,78571,1921,108,72,8.28091E+15,2,1,31,423,92,10714,65,285715,350.0,1,251,39286,3.29E+16,1.8,128571,4.286E+16,4
5,463,926,509,0.0,509,139,231,1157,3.7,93,46,0.0,833,2593,444,1.01E+16,667,463,3.56E+16,10,10,21.7,217,1037,601,8.08E+15,107291,2.36E+16,11741,414,64516,1413,185,0.0,861812754,1,1,6.51E+15,0.0,932,13825,56,327189,3.59447E+16,1,324,41475,0.4,1599,92166,0.8,3
6,4.5,1081,586,0.0,405,135,1.8,1261,2.7,0.9,0.9,0.0,856,2297,25,65,25,3.6,213,13,13,17.0,221,861,622,8.39E+15,1.00173E+16,2.32E+16,8929,607,72398,1.427E+16,2.7,0.0,749045892,2,0,0.0,6.51E+15,905,4525,63,280543,371041,1,4.5,54299,213,1516,104072,3.308E+16,3
7,417,12.5,833,0.0,208,0.0,208,1458,0.0,0.0,0.0,0.0,208,25.0,0.5,4,0.5,625,3.33E+16,3,3,15667,47,998,8.96E+15,963,0.0,7,1.0604E+16,619,12766,1.223E+16,0.0,0.0,302548117,1,1,336,0.0,125,0.0,15,361702,425532,1,0.0,2.1277E+16,3.33E+16,1702,8.5107E+15,2.0,2
8,5.0,12.0,6.0,0.0,3.0,2.0,0.0,13.0,3.0,3.0,0.0,0.0,12.0,23.0,5.71E+15,68,1.43E+16,1.0,0.5,8,8,1275,102,1002,716,925,77209,184,7425,426,98039,1.394E+16,6.0,1.0,637116654,1,1,525,0.0,645,19608,21,2.45098E+16,3.72549E+16,1,9.0,98039,1.43E+16,1.529E+16,117647,625,0
9,0.0,543,109,0.0,0.0,0.0,1304,652,0.0,0.0,0.0,0.0,0.0,3696,0.4,62,0.4,326,0.4,6,6,12.5,75,2202,659,754,0.0,289,1.6036E+16,1.67E+16,13333,904,0.0,0.0,283984878,0,2,1.48E+16,0.0,1619,0.0,36,639999,480.0,1,0.0,0.0,0.4,2267,53333,1.333E+16,1
