,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
0,10,16,6,1,0,2,4,15,5,0,1,1,14,45,0.3,0.2,0.2,2.2556E+16,109,812,13,10923,133,1212,616,445,445,0.0,43104,4067,1.05263E+16,0.5,0,1,353,0,4,773,0.0,1.37E+16,15038,9,406015,425744,8,0.0,6015,2.36E+16,2988,1.05263E+16,1636,1
1,12,20,8,0,1,3,0,15,4,0,1,2,0,34,0.2,1.0,1.4,101695,267,1.0,6,2.0833E+16,118,1.174E+16,5.82E+15,321,321,773,47735,4625,1.77966E+16,1.18E+16,0,0,619,1,0,752,773,5.77E+15,25424,1,2.20339E+16,291534,3,8475,5.9322E+16,1.8,2.769E+16,1.44068E+16,3.5,2
2,2,4,2,0,0,0,0,5,1,0,0,0,0,9,0.0,0.0,0.0,5.5556E+16,0.0,5.0,5,7.6,36,816,8.14E+15,465,465,795,67221,0.0,111111,25,0,0,2.91E+16,1,0,51,752,25,0.0,1,277778,4.56044E+16,1,2.7778E+16,111111,0.0,255,1.94444E+16,2.5,1
3,2,1,1,0,1,0,0,1,2,0,1,1,1,4,0.0,0.0,0.0,5.5556E+16,0.0,3.0,3,6.333E+15,18,1057,8.64E+15,455,455,5.59E+15,49707,0.0,111111,0.0,0,0,249,2,0,626,51,1.67E+16,0.0,1,333333,333333,1,5.5556E+16,166667,0.0,2909,111111,2.0,1
4,9,3,4,0,2,4,0,3,1,0,2,2,3,12,0.0,3.0,3.0,40.0,0.0,667,2,26.0,50,1.098E+16,7.12E+15,4.58E+16,4.58E+16,626,48169,11083,80.0,0.3,0,0,324,3,0,657,626,1.67E+16,80.0,4,220.0,362319,2,0.0,140.0,3.0,2.581E+16,220.0,1.5,3
5,1,4,4,0,0,0,1,3,0,0,0,0,0,14,0.0,0.0,0.0,128205,0.0,1.0,1,40.0,39,1359,833,524,524,715,17343,6.286E+16,102564,1.67E+16,0,0,0.0,1,0,863,657,385,0.0,0,25641,333333,1,0.0,25641,0.0,3.0,153846,16.0,2
6,2,8,2,0,3,0,0,16,1,0,0,1,3,33,1.0,1.0,1.0,5618,0.6,2.0,6,15333,89,1246,6.92E+15,462,462,784,20346,2.2714E+16,123596,615,0,0,377,1,0,857,863,321,0.0,4,348315,372131,2,1.1236E+16,67416,0.6,3167,1.68539E+16,2.2,2
7,2,6,1,0,2,0,0,8,2,0,1,1,0,16,0.0,0.0,0.0,98039,0.0,1.0,1,53.0,51,1097,807,456,456,611,14228,2.5667E+16,78431,75,0,1,0.0,1,0,7.19E+15,857,353,0.0,0,2.54902E+16,333333,1,0.0,98039,0.0,2867,156863,3.0,2
8,7,8,5,0,1,1,0,5,0,0,1,2,2,27,0.0,1.0,4.0,115385,0.0,3.0,3,27.0,79,1.346E+16,7.24E+15,425,425,722,28671,14625,141026,2.86E+16,0,1,575,1,0,851,7.19E+15,0.4,12821,2,269231,272414,1,12821,89744,4.0,2865,179487,3.5,2
9,3,3,2,0,0,2,0,1,1,0,0,0,0,13,0.0,0.0,0.0,74074,0.0,1.0,2,14.5,27,1828,871,581,581,597,-882,20.0,111111,0.2,0,0,8.8E+15,1,0,708,851,0.3,74074,1,296296,850.0,2,0.0,74074,0.0,3.5,185185,7.0,2
